id,model,brand,weight,released,operatingSystem,platform,deviceCategory
68,XDA II,O2,185 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
69,2020,Qtek,185 g,2004 Jan.,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
70,Pocket LOOX 600,Fujitsu-Siemens,175 g,2002 Aug.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
71,Pocket LOOX 610BT,Fujitsu-Siemens,197 g,2003 Nov.,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
72,Pocket LOOX 610BT/WLAN,Fujitsu-Siemens,205 g,2003 Oct,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
73,Pocket LOOX 410,Fujitsu-Siemens,125 g,2004 May,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
74,Mio 728 PDA Phone,MiTAC,185 g,2003 Jan.,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
75,SIMpad SL4,Siemens,980 g,2002 Apr.,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Tablet
76,SIMpad SLC,Siemens,980 g,2002 Apr.,Microsoft Windows CE .NET 4.0,Windows (mobile-class),Tablet
77,netBook Pro,Psion Teklogix,1100 g,2003 Oct,Microsoft Windows CE .NET 4.2 Professional Edition (McKendric),Windows (mobile-class),Palmtop
78,WebBook Mobile Computer,Coxion,768 g,2003 Jan.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),Smartphone
79,Axim X5 Basic,Dell,196 g,2002 Nov.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
80,Axim X5 Advanced,Dell,196 g,2002 Nov.,Microsoft Pocket PC 2002 Premium Edition (Merlin),Windows (mobile-class),PDA
81,Axim X3 Basic,Dell,137 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
82,Axim X3 Advanced,Dell,137 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
83,Axim X3i,Dell,140 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
84,Axim X30i,Dell,139 g,2004 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
85,Axim X30 Basic,Dell,134.4 g,2004 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
86,Axim X30 Advanced,Dell,139 g,2004 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
87,Pocket LOOX 420,Fujitsu-Siemens,125 g,2004 May,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
88,Sigmarion,NTT DoCoMo,485 g,1999 Jun,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Smartphone
89,Sigmarion II.,NTT DoCoMo,500 g,2001 Jul,Microsoft Handheld PC 2000 (Galileo),Windows (mobile-class),Smartphone
90,Sigmarion III.,NTT DoCoMo,455 g,2003 Jun,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),Smartphone
91,MobilePro 900C,NEC,830 g,2004 Mar,Microsoft Windows CE .NET 4.2 Professional Edition (McKendric),Windows (mobile-class),Palmtop
92,T-SinusPad,Telekom,950 g,2001 Jun,Microsoft Handheld PC 3.01 Professional Edition (Jupiter),Windows (mobile-class),Tablet
93,Cassiopeia E-3000,Casio,190 g,2003 Jan.,Microsoft Pocket PC 2002 Professional Edition (Merlin),Windows (mobile-class),PDA
94,Cassiopeia IT-10 M20,Casio,290 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
95,Cassiopeia IT-10 M20BR,Casio,290 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
96,Cassiopeia IT-10 M30BR,Casio,290 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
97,Cassiopeia IT-500 M30,Casio,250 g,2003 Apr.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
98,Cassiopeia IT-500 M30B,Casio,250 g,2003 Apr.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
99,Cassiopeia IT-500 M30R,Casio,290 g,2003 Apr.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
100,Cassiopeia IT-500 M30CR,Casio,290 g,2003 Apr.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
101,Cassiopeia IT-500 M30CB,Casio,260 g,2003 Apr.,Microsoft Windows CE .NET 4.1 (Jameson),Windows (mobile-class),PDA
102,Cassiopeia EM-500,Casio,218 g,2000 Sep,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
103,Cassiopeia EG-800,Casio,295 g,2001 Jan.,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
104,Cassiopeia IT-700M30E,Casio,340 g,2000 Dec,Microsoft Pocket PC 2000 (Rapier),Windows (mobile-class),PDA
105,iPAQ H6340 / H6345,Hewlett-Packard,190 g,2004 Jul,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
106,e830,Toshiba,198 g,2004 Sep 14,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Professional Edition (Ozone Update),Windows (mobile-class),PDA
107,SPV E100,Orange,127 g,2003 Apr.,Microsoft Smartphone 2002 (Stinger),Windows (mobile-class),Smartphone
108,MDA III,T-Mobile,212 g,2004 Sep,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
109,XDA IIs / XDA III,O2,212 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
110,PDA2k,I-Mate,212 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
111,SPV M2000,Orange,212 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
112,9090,Qtek,212 g,2004 Sep,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
113,SX66,Siemens,208 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
114,PPC-6601,Audiovox,208 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
115,XDA IIi,O2,190 g,2005 Feb.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
116,MDA,T-Mobile,201 g,2002 Apr.,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
117,XDA,O2,201 g,2002 Apr.,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
118,1010 / 1020,Qtek,201 g,2002 May,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
119,SX56,Siemens,201 g,2002 Oct,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
120,iPAQ rz1710 / rz1715,Hewlett-Packard,120 g,2004 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Professional Edition (Ozone Update),Windows (mobile-class),PDA
121,iPAQ rz1717,Hewlett-Packard,120 g,2004 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
122,iPAQ rx3115,Hewlett-Packard,147.4 g,2004 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
123,iPAQ rx3415,Hewlett-Packard,147.4 g,2004 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
124,iPAQ rx3417,Hewlett-Packard,147.4 g,2004 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
125,iPAQ rx3715,Hewlett-Packard,158.1 g,2004 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
126,iPAQ hx4700 / hx4705,Hewlett-Packard,186.7 g,2004 Jul 11,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
127,Pocket LOOX 720,Fujitsu-Siemens,175 g,2004 Sep,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
128,Pocket LOOX 718,Fujitsu-Siemens,170 g,2004 Nov.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
129,Pocket LOOX 710,Fujitsu-Siemens,175 g,2004 Sep,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
130,Axim X50 Basic,Dell,167 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
131,Axim X50 Advanced,Dell,167 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
132,Axim X50v,Dell,167 g,2004 Oct,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
133,MDA Compact,T-Mobile,155 g,2005 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
134,XDA II mini,O2,155 g,2005 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
135,JAM,I-Mate,155 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
136,S100,Qtek,155 g,2005 Apr.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
137,Mio 8390 Digi-Walker,MiTAC,125 g,2004 Feb.,Microsoft Windows Mobile 2003 for Smartphone,Windows (mobile-class),Smartphone
138,Mio 8380 Digi-Walker,MiTAC,143 g,2003 May,Microsoft Smartphone 2002 (Stinger),Windows (mobile-class),Smartphone
139,Mio 8870 Digi-Walker,MiTAC,120 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
140,R1000 TDA,Olympus,180 g,2005 Mar,Microsoft Windows CE .NET 4.2 Professional Edition (McKendric),Windows (mobile-class),PDA
141,iPAQ hw6515,Hewlett-Packard,165 g,2005 Aug.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
142,iPAQ hx2110 / hx2115,Hewlett-Packard,164.4 g,2005 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
143,iPAQ hx2410 / hx2415,Hewlett-Packard,164.4 g,2005 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
144,iPAQ hx2750 / hx2755,Hewlett-Packard,164.4 g,2005 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
145,Mio 268 Digi-Walker,MiTAC,232 g,2005 Jan.,Microsoft Windows CE .NET 4.2 Core (McKendric),Windows (mobile-class),PNA
146,Mio 269 Digi-Walker,MiTAC,238 g,2005 Jan.,Microsoft Windows CE .NET 4.2 Core (McKendric),Windows (mobile-class),PNA
147,PDA2 Pocket PC,I-Mate,190 g,2005 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
148,MDA Pro,T-Mobile,285 g,2005 Oct,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
149,VPA IV / v1640,Vodafone,285 g,2006 Apr.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
150,VPA Compact,Vodafone,155 g,2005 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
151,iPAQ hw6915 Mobile Messenger / hw6925 / hw6945 / hw6965 / HSTNH-H06C-WL,Hewlett-Packard,179.45 g,2006 Apr.,Microsoft Windows Mobile 5.0 for Pocket PC Phone Edition (Magneto),Windows (mobile-class),Smartphone
152,MPx,Motorola,174 g,Cancelled,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
153,SDA,T-Mobile,102 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
154,SDA Music,T-Mobile,106.5 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
155,SDA II Music,T-Mobile,107 g,2005 Nov.,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
156,SDA II,T-Mobile,107 g,Cancelled,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
157,P50,BenQ,179 g,2006 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
158,n30,Acer,130 g,2004 May,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
159,n35,Acer,165 g,2004 Dec,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
160,n50,Acer,150 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Premium Edition (Ozone Update),Windows (mobile-class),PDA
161,InfoTouch M500,E-TEN,170 g,2005 Jan.,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
162,n10,Acer,165 g,2003 Nov.,Microsoft Windows Mobile 2003 for Pocket PC Premium Edition (Ozone),Windows (mobile-class),PDA
163,WorkPad z50,IBM,1206 g,1999 May,Microsoft Handheld PC 3.0 Professional Edition (Jupiter),Windows (mobile-class),Subnotebook
164,2020i,Qtek,190 g,2005 May,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
165,SPV M2500,Orange,190 g,2005 Jul,Microsoft Windows Mobile 2003 Second Edition for Pocket PC Phone Edition (Ozone Update),Windows (mobile-class),Smartphone
166,SCH-M400,Samsung,207 g,2003 Aug.,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
167,MC12,Ericsson,442 g,1996 Dec,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
168,Palmtop 320LX,Hewlett-Packard,442 g,1996 Dec,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
169,Palmtop 360LX,Hewlett-Packard,457 g,1997 Jun,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
170,Palmtop 340LX,Hewlett-Packard,452 g,1997 Jun,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
171,MC16,Ericsson,457 g,1998 Jun,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
172,Palmtop 300LX,Hewlett-Packard,430 g,1996 Dec,Microsoft Handheld PC 1.0 (Pegasus),Windows (mobile-class),Palmtop
173,Palmtop 620LX,Hewlett-Packard,586 g,1997 Sep,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
174,Palmtop 660LX,Hewlett-Packard,586 g,1997 Sep,Microsoft Handheld PC 2.0 (Mercury),Windows (mobile-class),Palmtop
175,InfoTouch P300,E-TEN,165 g,2003 Sep,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
176,InfoTouch P300B,E-TEN,165 g,2004 May,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
177,InfoTouch P700,E-TEN,200 g,2004 Feb.,Microsoft Windows Mobile 2003 for Pocket PC Phone Edition (Ozone),Windows (mobile-class),Smartphone
178,InfoTouch P600,E-TEN,210 g,2003 Mar,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
179,InfoTouch P603,E-TEN,210 g,2003 Jun,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
180,InfoTouch P610,E-TEN,210 g,2003 Nov.,Microsoft Pocket PC 2002 Phone Edition (Merlin),Windows (mobile-class),Smartphone
181,MPx200,Motorola,118 g,2003 Nov.,Microsoft Smartphone 2002 (Stinger),Windows (mobile-class),Smartphone
182,MPx220,Motorola,114 g,2004 Dec,Microsoft Windows Mobile 2003 Second Edition for Smartphone (Magneto),Windows (mobile-class),Smartphone
